N,P,Iteration,Status,Time_s,Optimal_Cost
20,10000,5,OPTIMAL_30_GAP,68.621,9329370.00
20,10000,6,OPTIMAL_30_GAP,69.350,12171366.00
20,10000,7,OPTIMAL_30_GAP,71.456,9322808.00
20,10000,8,OPTIMAL_30_GAP,76.495,10704674.00
20,10000,9,OPTIMAL_30_GAP,66.479,8310753.00
20,10000,10,OPTIMAL_30_GAP,66.769,9802103.00
50,50,1,OPTIMAL_30_GAP,3.230,58100.00
50,50,2,OPTIMAL_30_GAP,1.544,49280.00
50,50,3,OPTIMAL_30_GAP,4.866,45032.00
50,50,4,OPTIMAL_30_GAP,2.016,50733.00
50,50,5,OPTIMAL_30_GAP,2.002,53032.00
50,50,6,OPTIMAL_30_GAP,18.761,37620.00
50,50,7,OPTIMAL_30_GAP,1.413,46067.00
50,50,8,OPTIMAL_30_GAP,4.704,36873.00
50,50,9,OPTIMAL_30_GAP,0.687,42414.00
50,50,10,OPTIMAL_30_GAP,1.440,54114.00
50,100,1,OPTIMAL_30_GAP,6.789,46352.00
50,100,2,OPTIMAL_30_GAP,1.977,83967.00
50,100,3,OPTIMAL_30_GAP,5.082,91398.00
50,100,4,OPTIMAL_30_GAP,1.753,131075.00
50,100,5,OPTIMAL_30_GAP,1.499,90400.00
50,100,6,OPTIMAL_30_GAP,1.904,65080.00
50,100,7,OPTIMAL_30_GAP,7.442,82800.00
50,100,8,OPTIMAL_30_GAP,1.686,118558.00
50,100,9,OPTIMAL_30_GAP,1.715,126403.00
50,100,10,OPTIMAL_30_GAP,6.093,72597.00
50,200,1,OPTIMAL_30_GAP,3.970,144951.00
50,200,2,OPTIMAL_30_GAP,4.028,119596.00
50,200,3,OPTIMAL_30_GAP,2.866,289230.00
50,200,4,OPTIMAL_30_GAP,3.444,116246.00
50,200,5,OPTIMAL_30_GAP,3.678,189633.00
50,200,6,OPTIMAL_30_GAP,4.325,189260.00
50,200,7,OPTIMAL_30_GAP,5.218,217578.00
50,200,8,OPTIMAL_30_GAP,3.189,182246.00
50,200,9,OPTIMAL_30_GAP,12.411,158720.00
50,200,10,OPTIMAL_30_GAP,4.073,173358.00
50,500,1,OPTIMAL_30_GAP,7.428,494425.00
50,500,2,OPTIMAL_30_GAP,7.565,413280.00
50,500,3,OPTIMAL_30_GAP,7.092,522873.00
50,500,4,OPTIMAL_30_GAP,7.429,501636.00
50,500,5,OPTIMAL_30_GAP,6.448,437080.00
50,500,6,OPTIMAL_30_GAP,8.180,455640.00
50,500,7,OPTIMAL_30_GAP,7.866,458749.00
50,500,8,OPTIMAL_30_GAP,7.109,444883.00
50,500,9,OPTIMAL_30_GAP,8.715,499843.00
50,500,10,OPTIMAL_30_GAP,6.055,345986.00
50,1000,1,OPTIMAL_30_GAP,12.168,1202440.00
50,1000,2,OPTIMAL_30_GAP,13.078,1170951.00
50,1000,3,OPTIMAL_30_GAP,13.170,549852.00
